Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
6,1,71897484,74273950,99809842,-6554702,76818899,108805845,11758617
6,1,65848435,68872566,120273054,-6554702,96374989,108805845,11844109
6,1,64278008,67470284,125388857,6644321,95443746,-8360500,8544115
6,1,49097220,53914888,130504660,-6321827,104756170,38908090,11579084
6,1,43571646,48980932,130504660,-11188921,86131322,38908090,11485043
6,1,42117548,47682522,130504660,-10024544,82406353,-871455,11502141
6,1,53982991,58277544,135620462,-6321827,114068594,-871455,11835560
6,1,93069158,93178793,69115025,-10979333,104756170,-871455,11997995
6,1,120115390,117329211,2609588,-12912198,136418411,-871455,11997995
6,1,147801424,142050929,-7412745,-13331374,-16996033,-871455,11895405
6,1,164959786,161007708,-12016968,-15310814,140143381,-871455,11493592
6,1,174091525,175134404,-9970646,-11002620,93581262,118676,11408100
6,1,176767066,172797267,-12528548,-13308086,-15599169,-871455,11382452
1,1,177290541,170044639,-14063289,-11561521,-14388554,-871455,10903697
1,1,187352903,182145816,-13551708,-4016361,74025171,118676,10484785
1,1,189912116,183911653,-14063289,-11887547,-8894224,-871455,10031677
1,1,200323461,194195057,-15086449,-13634111,101962443,-871455,9604217
1,1,198171395,191702110,-15086449,-12376585,128037230,118676,9270798
1,1,188632509,182872925,-14063289,-11188921,107549897,-871455,8851887
6,1,176708902,184742635,-7412745,-11002620,152249532,-871455,8509918
6,1,139425817,134572090,7725391,-12027272,137349654,118676,8518468
6,1,107202995,105799334,69115025,-13308086,-17461654,-871455,8766395
1,1,95570207,95412057,84462434,-15636839,-17461654,38908090,8663804
6,1,87136436,87881282,94694039,-14076575,128968472,91139379,8347483
3,1,-4931616,-3396147,99809842,-8650580,-16530412,-15081438,-85768724
3,1,-4931616,-3396147,99809842,-8650580,-16530412,-15081438,-85768724
8,1,-10748010,-14053492,7725391,262807163,132693442,137225811,1593610
8,1,-10748010,-14053492,7725391,262807163,132693442,137225811,1593610
2,2,-14237846,-13985975,74230828,-6321827,-4424261,-12777117,10997738
2,2,-14237846,-13985975,74230828,-6321827,-4424261,-12777117,10997738
3,2,-17146043,-18530408,53767616,6644321,142005866,-13929277,19717930
2,2,-18076666,-15133769,38420208,-9442356,37706718,-5633720,20094095
3,2,-17727682,-19158839,38420208,6644321,-16530412,-5480098,19717930
3,2,-18309322,-19782075,38420208,6644321,-14667927,-5480098,19974406
3,2,-17762581,-17782524,23072799,-5762926,154112017,-5633720,20034250
3,2,-17727682,-14822151,17956996,-10979333,86131322,-5480098,19717930
3,2,-17727682,-18198015,38420208,-3993074,86131322,-5480098,19717930
2,2,-17675335,-14775408,38420208,-9209481,142937108,-6709070,20111193
2,2,-17727682,-14822151,38420208,-15636839,-17461654,-7784420,20316374
2,2,-16564404,-13783423,2609588,-10979333,-10942957,-7784420,20401866
2,2,-16634200,-13845747,7725391,-15008076,-9080473,-4750396,20615596
2,2,-16564404,-13783423,2609588,-8650580,-2561776,22009731,20230882
2,2,-15401125,-16234820,-1273782,-1664320,-699291,22009731,19546945
3,2,-17146043,-18530408,53767616,6644321,142005866,-13929277,19717930
2,2,-18076666,-15133769,38420208,-9442356,37706718,-5633720,20094095
3,2,-17727682,-19158839,38420208,6644321,-16530412,-5480098,19717930
3,2,-18309322,-19782075,38420208,6644321,-14667927,-5480098,19974406
3,2,-17762581,-17782524,23072799,-5762926,154112017,-5633720,20034250
3,2,-17727682,-14822151,17956996,-10979333,86131322,-5480098,19717930
3,2,-17727682,-18198015,38420208,-3993074,86131322,-5480098,19717930
2,2,-17675335,-14775408,38420208,-9209481,142937108,-6709070,20111193
2,2,-17727682,-14822151,38420208,-15636839,-17461654,-7784420,20316374
2,2,-16564404,-13783423,2609588,-10979333,-10942957,-7784420,20401866
2,2,-16634200,-13845747,7725391,-15008076,-9080473,-4750396,20615596
2,2,-16564404,-13783423,2609588,-8650580,-2561776,22009731,20230882
2,2,-15401125,-16234820,-1273782,-1664320,-699291,22009731,19546945
3,1,-9003092,-10807468,115157251,99794445,-15599169,114182595,1935578
3,1,-9003092,-10807468,115157251,99794445,-15599169,114182595,1935578
6,1,-11329649,-12272074,58883419,6644321,132693442,-871455,-85768724
4,1,-4349976,-2876783,115157251,-15636839,-17461654,-23530617,12622087
4,1,-4349976,-2876783,115157251,-15636839,-17461654,-23530617,12622087
4,1,-7258173,-6787592,115157251,-6321827,-699291,-24298725,22368184
4,1,-7258173,-6787592,115157251,-6321827,-699291,-24298725,22368184
4,1,-8421452,-8433976,94694039,-3993074,-2561776,-24298725,12536595
4,1,-8421452,-8433976,94694039,-3993074,-2561776,-24298725,12536595
3,1,-6094895,-4434874,79346631,-15636839,-17461654,41212411,8774944
3,1,-6094895,-4434874,79346631,-15636839,-17461654,41212411,8774944
4,1,14664169,23168550,99809842,-15636839,-17461654,-17385760,13391516
4,1,14664169,23168550,99809842,-15636839,-17461654,-17385760,13391516
6,1,71897484,74273950,99809842,-6554702,76818899,108805845,11758617
6,1,65848435,68872566,120273054,-6554702,96374989,108805845,11844109
6,1,64278008,67470284,125388857,6644321,95443746,-8360500,8544115
6,1,49097220,53914888,130504660,-6321827,104756170,38908090,11579084
6,1,43571646,48980932,130504660,-11188921,86131322,38908090,11485043
6,1,42117548,47682522,130504660,-10024544,82406353,-871455,11502141
6,1,53982991,58277544,135620462,-6321827,114068594,-871455,11835560
6,1,93069158,93178793,69115025,-10979333,104756170,-871455,11997995
6,1,120115390,117329211,2609588,-12912198,136418411,-871455,11997995
6,1,147801424,142050929,-7412745,-13331374,-16996033,-871455,11895405
6,1,164959786,161007708,-12016968,-15310814,140143381,-871455,11493592
6,1,174091525,175134404,-9970646,-11002620,93581262,118676,11408100
6,1,176767066,172797267,-12528548,-13308086,-15599169,-871455,11382452
1,1,177290541,170044639,-14063289,-11561521,-14388554,-871455,10903697
1,1,187352903,182145816,-13551708,-4016361,74025171,118676,10484785
1,1,189912116,183911653,-14063289,-11887547,-8894224,-871455,10031677
1,1,200323461,194195057,-15086449,-13634111,101962443,-871455,9604217
1,1,198171395,191702110,-15086449,-12376585,128037230,118676,9270798
1,1,188632509,182872925,-14063289,-11188921,107549897,-871455,8851887
6,1,176708902,184742635,-7412745,-11002620,152249532,-871455,8509918
6,1,139425817,134572090,7725391,-12027272,137349654,118676,8518468
6,1,107202995,105799334,69115025,-13308086,-17461654,-871455,8766395
1,1,95570207,95412057,84462434,-15636839,-17461654,38908090,8663804
6,1,87136436,87881282,94694039,-14076575,128968472,91139379,8347483
3,1,60904500,64457974,53767616,75342537,-7217988,22009731,-85768724
3,1,60904500,64457974,53767616,75342537,-7217988,22009731,-85768724
4,2,-14627544,-14889668,130504660,-4225949,-7869857,-19267623,14160945
4,2,-13778351,-14006749,135620462,-4225949,-7962982,-17616192,13742033
2,2,-13755085,-11274896,135620462,-10630020,-2748024,-16502437,13801878
4,2,-14487951,-11929294,130504660,-14332737,-7124864,-17155328,13665091
4,2,-15354594,-12703146,135620462,-11910834,-13457312,-20189351,13553951
